State,Year,UnemploymentRate,WPR,RuralEmployment,UrbanEmployment
Andhra Pradesh,2019,4.826874999999999,40.095,12040958.75,4763127.625
Andhra Pradesh,2020,11.010833333333334,38.416666666666664,11498776.166666666,4148210.1666666665
Assam,2019,6.315714285714286,46.278035714285714,9909392.285714285,1657059.125
Assam,2020,6.246666666666667,43.314166666666665,9446733.0,1561365.3333333333
Bihar,2019,13.8825,38.625,23406059.875,3069645.0
Bihar,2020,25.6325,37.52583333333333,19760540.0,2647402.8333333335
Chandigarh,2019,,,,320835.25
Chandigarh,2020,,,,308823.25
Chhattisgarh,2019,7.346875000000001,44.90875,6659486.625,2307288.5
Chhattisgarh,2020,11.765,40.01333333333333,6291281.5,1836011.6666666667
Delhi,2019,13.750625,41.43875,157572.625,5635350.125
Delhi,2020,20.155,35.58416666666667,135818.16666666666,4402011.5
Goa,2019,9.346250000000001,39.68625,172268.75,281523.375
Goa,2020,9.129999999999999,38.37625,160200.75,290065.0
Gujarat,2019,4.979374999999999,47.681875,13807921.125,10005099.625
Gujarat,2020,8.91,43.99333333333333,12451856.833333334,9006841.833333334
Haryana,2019,22.79875,43.208124999999995,4848158.25,2614769.5
Haryana,2020,30.929166666666667,42.10916666666667,4385271.166666667,2263830.0
Himachal Pradesh,2019,19.064375,46.945625,1977863.0,238672.5
Himachal Pradesh,2020,17.841666666666665,40.590833333333336,1790036.8333333333,200426.5
Jammu & Kashmir,2019,16.141666666666666,43.0175,2523368.8333333335,1153114.8333333333
Jammu & Kashmir,2020,16.26725,38.34825,2332894.4,1018797.75
Jharkhand,2019,14.23375,42.113125,7217967.25,2379150.375
Jharkhand,2020,29.053333333333335,41.08083333333333,6154863.0,1905435.5
Karnataka,2019,3.23875,40.334375,12811872.0,8688295.0
Karnataka,2020,11.259166666666665,42.693333333333335,12483215.0,8629785.666666666
Kerala,2019,7.13125,36.84875,5153982.25,4453293.75
Kerala,2020,14.114166666666666,32.22666666666667,4026455.8333333335,3818040.5
Madhya Pradesh,2019,4.788125,39.540000000000006,16357438.0,6598110.25
Madhya Pradesh,2020,10.897499999999999,37.86333333333333,15488286.333333334,5776576.166666667
Maharashtra,2019,5.459375,43.824375,24927630.75,17105285.875
Maharashtra,2020,10.355,40.275,21890862.333333332,15352829.5
Meghalaya,2019,4.012499999999999,58.116249999999994,1114939.0,256598.5
Meghalaya,2020,6.229166666666666,54.93366666666667,1080058.6666666667,234048.4
Odisha,2019,3.66125,41.03,11523173.75,2483265.875
Odisha,2020,8.32,36.12166666666667,9712042.0,2159524.3333333335
Puducherry,2019,1.6993749999999999,39.96875,169969.25,296191.5
Puducherry,2020,23.164166666666667,38.3,137866.75,206412.83333333334
Punjab,2019,10.8825,42.9125,6180933.375,3395707.25
Punjab,2020,13.5625,38.7725,5397664.333333333,3017170.8333333335
Rajasthan,2019,12.30125,40.566874999999996,15138834.875,5236825.0
Rajasthan,2020,16.400833333333335,39.18166666666667,15049954.0,4640801.666666667
Sikkim,2019,6.342499999999999,48.253750000000004,156920.33333333334,93960.375
Sikkim,2020,7.5275,41.276250000000005,137356.0,79954.0
Tamil Nadu,2019,3.06375,44.4875,15863914.5,12027680.625
Tamil Nadu,2020,17.578333333333333,36.05166666666666,11275896.833333334,8793194.5
Telangana,2019,4.115625,54.435,11301309.375,5483027.625
Telangana,2020,12.567499999999999,51.0925,10098748.833333334,4573894.666666667
Tripura,2019,28.363125,63.19,1054292.875,408925.375
Tripura,2020,28.333333333333336,60.0025,997019.6666666666,398035.0
Uttar Pradesh,2019,10.888124999999999,39.750625,43311721.25,13738216.125
Uttar Pradesh,2020,14.769166666666667,39.00833333333334,42273705.333333336,12768928.333333334
Uttarakhand,2019,5.800625,34.040625,2022710.875,831694.875
Uttarakhand,2020,7.526833333333334,33.504666666666665,1921381.2,849001.1666666666
West Bengal,2019,6.625624999999999,46.8875,24909920.375,10997561.25
West Bengal,2020,10.123333333333335,43.4575,22297336.833333332,10085865.0
